City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,coquimbo,-29.9533,-71.3436,16.85,67,0,4.12,CL,1696097602
239,ghat,24.9647,10.1728,30.73,21,76,4.36,LY,1696097602
240,dingcheng,32.1272,115.0394,20.87,80,93,3.06,CN,1696097602
241,koutiala,12.3917,-5.4642,29.34,54,61,4.24,ML,1696097603
242,gisborne,-38.6533,178.0042,3.24,66,3,1.63,NZ,1696097603
243,puerto baquerizo moreno,-0.9,-89.6,26.55,69,75,4.63,EC,1696097603
244,new norfolk,-42.7826,147.0587,13.29,55,99,2.05,AU,1696097603
245,badger,64.8,-147.5333,3.73,73,0,4.12,US,1696097604
246,birjand,32.8663,59.2211,14.26,17,0,3.09,IR,1696097604
247,guerrero negro,27.9769,-114.0611,21.97,61,29,6.05,MX,1696097604
248,puerto lempira,15.2667,-83.7667,32.08,62,75,2.57,HN,1696097426
249,brookings,44.3114,-96.7984,26.19,78,20,4.63,US,1696097604
250,ad-damazin,11.7891,34.3592,26.88,73,67,3.04,SD,1696097421
251,kushiro,42.975,144.3747,16.2,93,100,4.97,JP,1696097605
252,maitum,6.0392,124.4986,25.88,79,97,1.15,PH,1696097605
253,molde,62.7375,7.1591,13.17,94,75,6.69,NO,1696097605
254,jutai,-5.1833,-68.9,32.05,66,85,0.32,BR,1696097606
255,al marj,32.488,20.8317,21.0,77,2,3.28,LY,1696097606
256,aberdeen,57.1437,-2.0981,11.48,94,40,4.12,GB,1696097606
257,daru,-9.0763,143.2092,24.39,88,100,6.9,PG,1696097419
258,pretoria,-25.7449,28.1878,25.41,31,1,1.03,ZA,1696097557
259,dryden,49.7833,-92.7503,18.16,63,0,4.12,CA,1696097607
260,konarka,19.9,86.1167,25.22,80,100,4.9,IN,1696097607
261,bodo,67.28,14.405,10.43,98,75,6.69,NO,1696097607
262,bikenibeu village,1.3673,173.1241,26.98,89,75,0.0,KI,1696097607
263,thunder bay,48.4001,-89.3168,18.99,77,75,3.09,CA,1696097608
264,necochea,-38.5473,-58.7368,11.12,69,75,9.08,AR,1696097608
